subtaskID,datapointID,answer
1,015002,value
1,015003,value
1,015006,value
1,015010,value
1,015011,value
1,015013,value
1,015014,value
1,015016,value
1,015017,value
1,015019,value
1,015021,value
1,015022,value
1,015024,value
1,015025,value
1,015026,value
1,015027,value
1,015028,value
1,015029,value
1,015033,value
1,015036,value
1,015038,value
1,015043,value
1,015044,value
1,015045,value
1,015046,value
1,015047,value
1,015048,value
1,015050,value
1,015057,value
1,015062,value
1,015063,value
1,015066,value
1,015070,value
1,015074,value
1,015075,value
1,015076,value
1,015078,value
1,015089,value
1,015092,value
1,015094,value
1,015095,value
1,015104,value
1,015107,value
1,015108,value
1,015109,value
1,015110,value
1,015112,value
1,015114,value
1,015118,value
1,015124,value
1,015125,value
1,015127,value
1,015130,value
1,015132,value
1,015135,value
1,015137,value
1,015140,value
1,015143,value
1,015145,value
1,015146,value
1,015151,value
1,015152,value
1,015155,value
1,015158,value
1,015159,value
1,015169,value
1,015171,value
1,015173,value
1,015176,value
1,015177,value
1,015178,value
1,015179,value
1,015180,value
1,015181,value
1,015182,value
1,015185,value
1,015187,value
1,015188,value
1,015189,value
1,015191,value
1,015195,value
1,015198,value
1,015201,value
1,015203,value
1,015205,value
1,015207,value
1,015212,value
1,015218,value
1,015219,value
1,015221,value
1,015222,value
1,015224,value
1,015230,value
1,015232,value
1,015235,value
1,015236,value
1,015237,value
1,015240,value
1,015241,value
1,015242,value
1,015243,value
1,015250,value
1,015253,value
1,015254,value
1,015255,value
1,015257,value
1,015261,value
1,015263,value
1,015268,value
1,015270,value
1,015271,value
1,015273,value
1,015276,value
1,015283,value
1,015285,value
1,015289,value
1,015290,value
1,015294,value
1,015297,value
1,015298,value
1,015300,value
1,015302,value
1,015305,value
1,015308,value
1,015309,value
1,015310,value
1,015315,value
1,015317,value
1,015324,value
1,015325,value
1,015327,value
1,015328,value
1,015332,value
1,015333,value
1,015335,value
1,015338,value
1,015339,value
1,015341,value
1,015345,value
1,015347,value
1,015348,value
1,015353,value
1,015355,value
1,015358,value
1,015365,value
1,015368,value
1,015369,value
1,015371,value
1,015373,value
1,015376,value
1,015385,value
1,015388,value
1,015393,value
1,015395,value
1,015396,value
1,015398,value
1,015402,value
1,015404,value
1,015405,value
1,015407,value
1,015409,value
1,015418,value
1,015419,value
1,015420,value
1,015425,value
1,015430,value
1,015434,value
1,015437,value
1,015438,value
1,015443,value
1,015444,value
1,015449,value
1,015450,value
1,015451,value
1,015452,value
1,015453,value
1,015455,value
1,015457,value
1,015458,value
1,015459,value
1,015462,value
1,015463,value
1,015464,value
1,015466,value
1,015467,value
1,015468,value
1,015469,value
1,015470,value
1,015471,value
1,015473,value
1,015474,value
1,015480,value
1,015486,value
1,015487,value
1,015502,value
1,015507,value
1,015509,value
1,015513,value
1,015515,value
1,015516,value
1,015517,value
1,015522,value
1,015523,value
1,015526,value
1,015529,value
1,015530,value
1,015531,value
1,015534,value
1,015535,value
